"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Dec 19 18:20:27 UTC 2025","Fri Dec 19 18:20:27 UTC 2025","347","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userCreatesProjectWithMalformattedIdTest","userCreatesProjectWithMalformattedIdTest",""
"passed","Fri Dec 19 18:20:34 UTC 2025","Fri Dec 19 18:20:34 UTC 2025","446","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","userCreatesTwoBuildTypesWithTheSameIdTest","User should not be able to create two build types with the same Id",""
"passed","Fri Dec 19 18:19:27 UTC 2025","Fri Dec 19 18:20:13 UTC 2025","46140","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"passed","Fri Dec 19 18:20:29 UTC 2025","Fri Dec 19 18:20:29 UTC 2025","441","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userCreatesTwoProjectsWithTheSameNameTest","userCreatesTwoProjectsWithTheSameNameTest",""
"passed","Fri Dec 19 18:20:30 UTC 2025","Fri Dec 19 18:20:30 UTC 2025","456","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userShouldBeAbleCreateProjectTest","User should be able to create project",""
"passed","Fri Dec 19 18:20:33 UTC 2025","Fri Dec 19 18:20:34 UTC 2025","551","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","userCreatesBuildTypeTest","User should be able to create build type",""
"passed","Fri Dec 19 18:20:26 UTC 2025","Fri Dec 19 18:20:27 UTC 2025","1022","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userCreatesProjectWithEmptyIdTest","userCreatesProjectWithEmptyIdTest",""
"passed","Fri Dec 19 18:20:32 UTC 2025","Fri Dec 19 18:20:33 UTC 2025","1101","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","projectAdminCreatesBuildTypeForTheirProjectTest","Project admin should be able to create build type for their project",""
"passed","Fri Dec 19 18:20:30 UTC 2025","Fri Dec 19 18:20:31 UTC 2025","770","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","projectAdminCreatesBuildTypeForAnotherUserProjectTest","Project admin should not be able to create build type for not their project",""
"passed","Fri Dec 19 18:20:28 UTC 2025","Fri Dec 19 18:20:29 UTC 2025","1165","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userCreatesTwoProjectsWithTheSameIdTest","userCreatesTwoProjectsWithTheSameIdTest",""
